Name,Event,League,Date
Glenna Hauck,Halloweeen 2015,Hauck Family Challenge,2015-10-31
Guillermo Reinger,Labor Day 2017,Reinger Family Challenge,2017-9-4
Allen Hauck,Independence Day 2014,Hauck Family Challenge,2014-7-4
Keira Bosco,Groundhog Day 2018,Bosco Family Challenge,2018-2-2
Garrison Olson,Halloweeen 2017,Reinger Family Challenge,2017-10-31
Monica Olson,Labor Day 2018,Reinger Family Challenge,2018-9-3
Edd Lang,Labor Day 2014,Lang Family Championship,2014-9-1
Magdalen Gleason,New Year's Eve 2018,Lang Family Championship,2018-12-31
Annamae Smith,Halloweeen 2015,Stokes Family Challenge,2015-10-31
Gisselle Mosciski,Thanksgiving 2017,Mosciski Family Challenge,2017-11-23
Bennett Stokes,Independence Day 2017,Stokes Family Challenge,2017-7-4
Kiarra Anderson,Thanksgiving 2015,Anderson Family Championship,2015-11-26
Lolita Wilderman,New Year's Eve 2018,Wilderman Family Championship,2018-12-31
Antonetta Bosco,Halloweeen 2014,Bosco Family Challenge,2014-10-31
Shany Mosciski,Independence Day 2014,Mosciski Family Challenge,2014-7-4
Jeff Dietrich,Independence Day 2018,Hickle Family Challenge,2018-7-4
Carolyne Gleason,Labor Day 2014,Lang Family Championship,2014-9-1
Lonzo Mosciski,Labor Day 2015,Mosciski Family Challenge,2015-9-7
Lenore Gleason,Thanksgiving 2018,Lang Family Championship,2018-11-22
Duncan Mosciski,Halloweeen 2014,Mosciski Family Challenge,2014-10-31
Kiarra Anderson,Independence Day 2018,Anderson Family Championship,2018-7-4
Filomena Hauck,Labor Day 2015,Hauck Family Challenge,2015-9-7
Allen Hauck,Thanksgiving 2016,Hauck Family Challenge,2016-11-24
Bennett Stokes,Halloweeen 2018,Stokes Family Challenge,2018-10-31
Arch Bosco,Thanksgiving 2016,Bosco Family Challenge,2016-11-24
Johann Bosco,Halloweeen 2014,Bosco Family Challenge,2014-10-31
Keira Bosco,Thanksgiving 2018,Bosco Family Challenge,2018-11-22
Shany Mosciski,Labor Day 2016,Mosciski Family Challenge,2016-9-5
Bennett Stokes,Halloweeen 2015,Stokes Family Challenge,2015-10-31
Cecile Bosco,Labor Day 2015,Bosco Family Challenge,2015-9-7
Guillermo Reinger,Halloweeen 2017,Reinger Family Challenge,2017-10-31
Viola Gleason,Independence Day 2015,Lang Family Championship,2015-7-4
Jamir Wilderman,Halloweeen 2018,Wilderman Family Championship,2018-10-31
Lolita Wilderman,New Year's Eve 2017,Wilderman Family Championship,2017-12-31
Wilfredo Olson,Halloweeen 2017,Reinger Family Challenge,2017-10-31
Guillermo Reinger,Independence Day 2017,Reinger Family Challenge,2017-7-4
Hiram Smith,Halloweeen 2018,Stokes Family Challenge,2018-10-31
Angelina Olson,Labor Day 2016,Reinger Family Challenge,2016-9-5
Donnell Hauck,Labor Day 2014,Hauck Family Challenge,2014-9-1
Hollie Larkin,Independence Day 2015,Anderson Family Championship,2015-7-4
Jeff Dietrich,Halloweeen 2016,Hickle Family Challenge,2016-10-31
Samanta Smith,Labor Day 2016,Stokes Family Challenge,2016-9-5
Rosalinda Mosciski,Halloweeen 2018,Mosciski Family Challenge,2018-10-31
Lonzo Mosciski,Independence Day 2014,Mosciski Family Challenge,2014-7-4
Glenna Hauck,Independence Day 2015,Hauck Family Challenge,2015-7-4
Magdalen Gleason,Groundhog Day 2018,Lang Family Championship,2018-2-2
Jamir Wilderman,Thanksgiving 2014,Wilderman Family Championship,2014-11-27
Garrison Olson,New Year's Eve 2016,Reinger Family Challenge,2016-12-31
Roy Hauck,Halloweeen 2018,Hauck Family Challenge,2018-10-31
Quincy Mosciski,New Year's Eve 2015,Mosciski Family Challenge,2015-12-31
Vilma Dietrich,New Year's Eve 2015,Hickle Family Challenge,2015-12-31
Marge Hickle,Halloweeen 2016,Hickle Family Challenge,2016-10-31
Gisselle Mosciski,Thanksgiving 2018,Mosciski Family Challenge,2018-11-22
Keira Bosco,New Year's Eve 2017,Bosco Family Challenge,2017-12-31
Gracie Anderson,Independence Day 2018,Anderson Family Championship,2018-7-4
Vilma Dietrich,Independence Day 2018,Hickle Family Challenge,2018-7-4
Annamae Smith,Independence Day 2017,Stokes Family Challenge,2017-7-4
Kenna Schumm,Independence Day 2014,Wilderman Family Championship,2014-7-4
Tod Hickle,Labor Day 2017,Hickle Family Challenge,2017-9-4
Gracie Anderson,Labor Day 2016,Anderson Family Championship,2016-9-5
Kiarra Anderson,New Year's Eve 2018,Anderson Family Championship,2018-12-31
Tod Hickle,Halloweeen 2018,Hickle Family Challenge,2018-10-31
Lenore Gleason,New Year's Eve 2015,Lang Family Championship,2015-12-31
Tod Hickle,Halloweeen 2017,Hickle Family Challenge,2017-10-31
Paul Bosco,Labor Day 2015,Bosco Family Challenge,2015-9-7
Glenna Hauck,Thanksgiving 2018,Hauck Family Challenge,2018-11-22
Donnell Hauck,Independence Day 2014,Hauck Family Challenge,2014-7-4
Lindsey Anderson,Halloweeen 2016,Anderson Family Championship,2016-10-31
Eliane Bosco,Thanksgiving 2015,Bosco Family Challenge,2015-11-26
Magdalen Gleason,Independence Day 2015,Lang Family Championship,2015-7-4
Allen Hauck,Labor Day 2018,Hauck Family Challenge,2018-9-3
Eliane Bosco,Thanksgiving 2014,Bosco Family Challenge,2014-11-27
Demario Hauck,Independence Day 2014,Hauck Family Challenge,2014-7-4
Allen Hauck,Independence Day 2017,Hauck Family Challenge,2017-7-4
Mary Schumm,Independence Day 2014,Wilderman Family Championship,2014-7-4
Idell Anderson,Thanksgiving 2018,Anderson Family Championship,2018-11-22
Keira Bosco,Thanksgiving 2016,Bosco Family Challenge,2016-11-24
Kenna Schumm,New Year's Eve 2017,Wilderman Family Championship,2017-12-31
Viola Gleason,Labor Day 2015,Lang Family Championship,2015-9-7
Lonzo Mosciski,New Year's Eve 2017,Mosciski Family Challenge,2017-12-31
Lolita Wilderman,Halloweeen 2014,Wilderman Family Championship,2014-10-31
Carli Gleason,Halloweeen 2015,Lang Family Championship,2015-10-31
Lolita Wilderman,New Year's Eve 2014,Wilderman Family Championship,2014-12-31
Vilma Dietrich,Independence Day 2017,Hickle Family Challenge,2017-7-4
Carli Gleason,Halloweeen 2014,Lang Family Championship,2014-10-31
Keira Bosco,Halloweeen 2017,Bosco Family Challenge,2017-10-31
Toby Hahn,New Year's Eve 2014,Wilderman Family Championship,2014-12-31
Gracie Anderson,Thanksgiving 2016,Anderson Family Championship,2016-11-24
Stephan Lang,New Year's Eve 2015,Lang Family Championship,2015-12-31
Lonzo Mosciski,Halloweeen 2016,Mosciski Family Challenge,2016-10-31
Allen Hauck,Thanksgiving 2018,Hauck Family Challenge,2018-11-22
Nona Hickle,Independence Day 2018,Hickle Family Challenge,2018-7-4
Lolita Wilderman,Independence Day 2014,Wilderman Family Championship,2014-7-4
Gisselle Mosciski,Labor Day 2015,Mosciski Family Challenge,2015-9-7
Vidal Wilderman,Independence Day 2014,Wilderman Family Championship,2014-7-4
Christiana Larkin,New Year's Eve 2018,Anderson Family Championship,2018-12-31
Filomena Hauck,Halloweeen 2015,Hauck Family Challenge,2015-10-31
Vidal Wilderman,Halloweeen 2017,Wilderman Family Championship,2017-10-31
Lonzo Mosciski,New Year's Eve 2016,Mosciski Family Challenge,2016-12-31
Donnell Hauck,New Year's Eve 2015,Hauck Family Challenge,2015-12-31
Annamae Smith,Independence Day 2018,Stokes Family Challenge,2018-7-4
Douglas Lang,Thanksgiving 2015,Lang Family Championship,2015-11-26
Glenna Hauck,Labor Day 2014,Hauck Family Challenge,2014-9-1
Nona Hickle,New Year's Eve 2015,Hickle Family Challenge,2015-12-31
Edwina Dietrich,Labor Day 2014,Hickle Family Challenge,2014-9-1
Edwina Dietrich,Halloweeen 2017,Hickle Family Challenge,2017-10-31
Lolita Wilderman,Independence Day 2018,Wilderman Family Championship,2018-7-4
Keira Bosco,New Year's Eve 2014,Bosco Family Challenge,2014-12-31
Helena Stokes,Halloweeen 2014,Stokes Family Challenge,2014-10-31
Stephan Lang,Independence Day 2018,Lang Family Championship,2018-7-4
Stephan Hessel,New Year's Eve 2017,Anderson Family Championship,2017-12-31
Carolyne Gleason,New Year's Eve 2016,Lang Family Championship,2016-12-31
Heather Mosciski,Halloweeen 2014,Mosciski Family Challenge,2014-10-31
Allen Hauck,Halloweeen 2018,Hauck Family Challenge,2018-10-31
Otha Stokes,Halloweeen 2015,Stokes Family Challenge,2015-10-31
Vidal Wilderman,New Year's Eve 2017,Wilderman Family Championship,2017-12-31
Toby Hahn,Independence Day 2014,Wilderman Family Championship,2014-7-4
Rosalinda Mosciski,New Year's Eve 2014,Mosciski Family Challenge,2014-12-31
Edwina Dietrich,Halloweeen 2016,Hickle Family Challenge,2016-10-31
Viola Gleason,Thanksgiving 2016,Lang Family Championship,2016-11-24
Rosalinda Mosciski,Halloweeen 2016,Mosciski Family Challenge,2016-10-31
Sophie Dietrich,Thanksgiving 2017,Hickle Family Challenge,2017-11-23
Donnell Hauck,Thanksgiving 2017,Hauck Family Challenge,2017-11-23
Stephan Hessel,New Year's Eve 2018,Anderson Family Championship,2018-12-31
Lenore Gleason,Thanksgiving 2016,Lang Family Championship,2016-11-24
Roy Hauck,Thanksgiving 2016,Hauck Family Challenge,2016-11-24
Carolyne Gleason,Groundhog Day 2018,Lang Family Championship,2018-2-2
Rosalinda Mosciski,Halloweeen 2017,Mosciski Family Challenge,2017-10-31
Donnell Hauck,Thanksgiving 2014,Hauck Family Challenge,2014-11-27
Stephan Hessel,Groundhog Day 2018,Anderson Family Championship,2018-2-2
Stanley Wilderman,Labor Day 2015,Wilderman Family Championship,2015-9-7
Gisselle Mosciski,Labor Day 2018,Mosciski Family Challenge,2018-9-3
Heather Mosciski,New Year's Eve 2015,Mosciski Family Challenge,2015-12-31
Paul Bosco,Independence Day 2014,Bosco Family Challenge,2014-7-4
Roy Hauck,New Year's Eve 2018,Hauck Family Challenge,2018-12-31
Wilhelm Bosco,Labor Day 2018,Bosco Family Challenge,2018-9-3
Quincy Mosciski,New Year's Eve 2018,Mosciski Family Challenge,2018-12-31
Carolyne Gleason,Halloweeen 2016,Lang Family Championship,2016-10-31
Annamae Smith,Independence Day 2015,Stokes Family Challenge,2015-7-4
Magdalen Gleason,Halloweeen 2015,Lang Family Championship,2015-10-31
Glenna Hauck,Independence Day 2016,Hauck Family Challenge,2016-7-4
Arch Bosco,New Year's Eve 2016,Bosco Family Challenge,2016-12-31
Antonetta Bosco,Thanksgiving 2015,Bosco Family Challenge,2015-11-26
Christiana Larkin,New Year's Eve 2017,Anderson Family Championship,2017-12-31
Edd Lang,Thanksgiving 2016,Lang Family Championship,2016-11-24
Douglas Lang,Independence Day 2018,Lang Family Championship,2018-7-4
Shany Mosciski,Halloweeen 2016,Mosciski Family Challenge,2016-10-31
Wilfredo Olson,New Year's Eve 2015,Reinger Family Challenge,2015-12-31
Mary Schumm,Independence Day 2015,Wilderman Family Championship,2015-7-4
Wilhelm Bosco,Halloweeen 2018,Bosco Family Challenge,2018-10-31
Shany Mosciski,Independence Day 2017,Mosciski Family Challenge,2017-7-4
Carolyne Gleason,Thanksgiving 2015,Lang Family Championship,2015-11-26
Lonzo Mosciski,Halloweeen 2018,Mosciski Family Challenge,2018-10-31
Paul Bosco,Halloweeen 2014,Bosco Family Challenge,2014-10-31
Rosalinda Mosciski,Labor Day 2015,Mosciski Family Challenge,2015-9-7
Filomena Hauck,Halloweeen 2014,Hauck Family Challenge,2014-10-31
Carolyne Gleason,Thanksgiving 2014,Lang Family Championship,2014-11-27
Antonetta Bosco,Halloweeen 2016,Bosco Family Challenge,2016-10-31
Carli Gleason,Halloweeen 2018,Lang Family Championship,2018-10-31
Glenna Hauck,Labor Day 2015,Hauck Family Challenge,2015-9-7
Lonzo Mosciski,Labor Day 2018,Mosciski Family Challenge,2018-9-3
Shany Mosciski,Thanksgiving 2014,Mosciski Family Challenge,2014-11-27
Garrison Olson,Independence Day 2014,Reinger Family Challenge,2014-7-4
Libbie Hauck,Labor Day 2014,Hauck Family Challenge,2014-9-1
Wilfredo Olson,Thanksgiving 2017,Reinger Family Challenge,2017-11-23
Donnell Hauck,New Year's Eve 2016,Hauck Family Challenge,2016-12-31
Gracie Anderson,Labor Day 2017,Anderson Family Championship,2017-9-4
Tod Hickle,Thanksgiving 2015,Hickle Family Challenge,2015-11-26
Edd Lang,Thanksgiving 2017,Lang Family Championship,2017-11-23
Monica Olson,New Year's Eve 2016,Reinger Family Challenge,2016-12-31
Filomena Hauck,Independence Day 2018,Hauck Family Challenge,2018-7-4
Bennett Stokes,Thanksgiving 2017,Stokes Family Challenge,2017-11-23
Quincy Mosciski,New Year's Eve 2017,Mosciski Family Challenge,2017-12-31
Johann Bosco,Groundhog Day 2018,Bosco Family Challenge,2018-2-2
Annamae Smith,New Year's Eve 2017,Stokes Family Challenge,2017-12-31
Quincy Mosciski,Thanksgiving 2017,Mosciski Family Challenge,2017-11-23
Marge Hickle,New Year's Eve 2015,Hickle Family Challenge,2015-12-31
Wilhelm Bosco,Independence Day 2015,Bosco Family Challenge,2015-7-4
Rosalinda Mosciski,New Year's Eve 2015,Mosciski Family Challenge,2015-12-31
Kenna Schumm,Thanksgiving 2017,Wilderman Family Championship,2017-11-23
Sophie Dietrich,Labor Day 2016,Hickle Family Challenge,2016-9-5
Carli Gleason,Thanksgiving 2018,Lang Family Championship,2018-11-22
Filomena Hauck,Halloweeen 2017,Hauck Family Challenge,2017-10-31
Lenore Gleason,Thanksgiving 2014,Lang Family Championship,2014-11-27
Vilma Dietrich,Independence Day 2015,Hickle Family Challenge,2015-7-4
Paul Bosco,Independence Day 2017,Bosco Family Challenge,2017-7-4
Mary Schumm,Halloweeen 2017,Wilderman Family Championship,2017-10-31
Gisselle Mosciski,Independence Day 2018,Mosciski Family Challenge,2018-7-4
