Name,Weight,Time
Marge Hickle,195,2016-10-31T12:32:29-06:00
Khalid Stokes,152,2015-12-31T13:50:59-06:00
Eliane Bosco,135,2015-12-31T15:20:12-06:00
Garrison Olson,112,2015-12-31T16:56:43-06:00
Keira Bosco,164,2014-09-01T15:50:57-06:00
Toby Hahn,185,2017-12-31T13:34:59-06:00
Nona Hickle,148,2014-07-04T15:55:19-06:00
Rosalinda Mosciski,132,2016-09-05T15:47:23-06:00
Quincy Mosciski,139,2018-09-03T17:24:13-06:00
Hollie Larkin,183,2014-11-27T18:59:11-06:00
Duncan Mosciski,116,2015-10-31T17:35:26-06:00
Antonetta Bosco,119,2016-07-04T14:26:56-06:00
Kiarra Anderson,150,2014-09-01T13:19:21-06:00
Johann Bosco,117,2014-09-01T17:59:11-06:00
Kiarra Anderson,152,2015-12-31T17:19:46-06:00
Roy Hauck,130,2017-10-31T14:24:15-06:00
Mary Schumm,151,2018-07-04T16:15:14-06:00
Jamir Wilderman,163,2018-10-31T16:20:24-06:00
Patsy Gleason,178,2016-09-05T15:56:24-06:00
Marge Hickle,195,2014-09-01T14:49:19-06:00
Tod Hickle,150,2017-11-23T15:54:25-06:00
Lindsey Anderson,186,2016-12-31T15:17:52-06:00
Kiarra Anderson,151,2017-09-04T13:10:38-06:00
Allen Hauck,187,2015-10-31T14:59:45-06:00
Hollie Larkin,186,2015-09-07T16:38:13-06:00
Keira Bosco,165,2014-11-27T17:36:20-06:00
Lenore Gleason,103,2014-12-31T18:16:22-06:00
Angelina Olson,134,2018-10-31T13:24:14-06:00
Viola Gleason,156,2018-10-31T18:11:56-06:00
Lolita Wilderman,148,2018-11-22T14:18:36-06:00
Toby Hahn,184,2018-11-22T13:40:39-06:00
Christiana Larkin,201,2018-12-31T13:49:35-06:00
Gracie Anderson,171,2018-02-02T16:12:42-06:00
Magdalen Gleason,110,2017-09-04T17:51:28-06:00
Abraham Stokes,132,2014-07-04T16:14:42-06:00
Kenna Schumm,140,2017-07-04T15:43:25-06:00
Heather Mosciski,102,2017-07-04T15:53:16-06:00
Douglas Lang,158,2017-07-04T18:49:34-06:00
Stephan Hessel,156,2015-12-31T13:52:54-06:00
Arch Bosco,189,2017-11-23T14:44:51-06:00
Keira Bosco,163,2018-11-22T15:30:30-06:00
Guillermo Reinger,179,2014-07-04T14:48:56-06:00
Lenore Gleason,101,2015-07-04T14:52:55-06:00
Douglas Lang,159,2018-02-02T14:22:59-06:00
Stanley Wilderman,163,2016-11-24T14:36:39-06:00
Libbie Hauck,146,2017-09-04T14:53:41-06:00
Carolyne Gleason,191,2015-11-26T17:30:45-06:00
Amanda Gleason,177,2015-07-04T14:40:36-06:00
Tod Hickle,145,2015-10-31T17:30:21-06:00
Filomena Hauck,123,2015-10-31T17:43:25-06:00
Duncan Mosciski,112,2016-09-05T16:52:22-06:00
Lindsey Anderson,186,2016-11-24T15:56:51-06:00
Vidal Wilderman,120,2017-12-31T15:56:25-06:00
Vidal Wilderman,120,2016-07-04T16:46:51-06:00
Jamir Wilderman,163,2014-10-31T13:54:51-06:00
Lonzo Mosciski,142,2017-09-04T14:53:32-06:00
Patsy Gleason,178,2014-09-01T18:39:30-06:00
Otha Stokes,109,2017-07-04T12:47:30-06:00
Lenore Gleason,106,2015-09-07T14:20:23-06:00
Magdalen Gleason,105,2014-12-31T18:21:58-06:00
Stanley Wilderman,166,2014-11-27T16:24:15-06:00
Lenore Gleason,101,2017-09-04T15:30:35-06:00
Marge Hickle,195,2014-11-27T15:34:32-06:00
Antonetta Bosco,116,2015-07-04T14:54:33-06:00
Kenna Schumm,142,2014-12-31T15:26:25-06:00
